 ,Area,Mean,Min,Max,Angle,Length
1,0.289,13.900,2.100,20.661,-17.560,4.860
2,0.282,14.317,2.889,23.975,83.581,4.722
3,0.165,9.758,2.217,17.766,150.709,2.757
4,0.537,16.937,2.907,23.913,50.763,9.087
5,0.444,11.560,2.000,19.000,-10.784,7.523
6,0.468,7.984,0.902,17.098,-11.143,7.891
7,0.334,13.359,3.000,21.130,65.308,5.616
8,0.255,9.585,2.000,19.726,-86.864,4.288
9,0.323,10.220,2.000,17.649,138.059,5.455
10,0.203,10.731,0.333,13.972,-160.017,3.414
11,0.086,9.846,3.500,13.000,33.024,1.410
12,0.702,15.722,3.233,25.080,-13.143,11.884
13,0.561,10.847,2.091,20.722,76.050,9.474
14,0.210,8.371,2.000,17.518,42.979,3.514
15,0.210,8.417,2.000,16.563,121.293,3.507
16,0.179,15.860,5.000,23.181,-23.051,2.993
17,0.083,7.234,2.060,14.000,61.189,1.348
18,0.334,11.537,2.194,19.852,60.479,5.602
19,0.134,10.804,2.667,17.464,152.745,2.204
20,0.175,16.191,3.000,22.026,-26.565,2.920
21,0.200,7.889,2.005,17.234,120.114,3.366
22,0.217,14.288,3.000,20.707,21.631,3.630
23,0.134,18.609,8.410,25.690,16.557,2.251
24,0.144,7.436,2.177,15.369,94.185,2.393
25,0.430,12.403,2.332,21.756,112.834,7.255
26,0.189,12.113,3.056,18.445,51.667,3.176
27,0.382,11.467,2.039,18.364,110.251,6.457
28,0.306,15.704,7.000,20.125,-154.312,5.159
29,0.499,11.032,2.000,20.000,58.079,8.430
30,0.365,8.966,1.578,17.536,99.819,6.145
31,0.148,12.786,4.418,17.611,105.018,2.476
32,0.255,16.520,6.345,24.522,154.841,4.285
33,0.341,9.500,2.000,17.860,111.584,5.740
34,0.581,14.408,2.000,21.952,76.544,9.830
35,0.372,17.088,9.750,22.206,-126.656,6.287
36,0.650,11.013,2.603,22.808,-154.799,11.020
37,0.337,11.174,2.473,19.959,63.699,5.692
38,0.406,16.336,9.000,23.795,-79.651,6.856
39,0.427,14.753,3.000,20.235,-16.521,7.219
40,0.671,10.344,0.120,21.443,44.375,11.406
